-------------Completion Percentage Based on Wind Speed-------------

--- Low Wind ---
Date	Home/Away	Opponent	Completion Percentage	Max Wind Speed
2024-10-26	Home	Michigan State	70.00%	7.9 mph
2023-11-25	Home	Ohio State	80.95%	7.9 mph
2023-12-03	Away	Iowa	73.33%	8.7 mph
2023-11-18	Away	Maryland	52.17%	9.0 mph
2023-09-23	Home	Rutgers	71.43%	9.8 mph
2023-10-14	Home	Indiana	86.36%	9.5 mph
2022-11-12	Home	Nebraska	50.00%	9.4 mph
2022-09-17	Home	UConn	80.77%	7.5 mph
2022-11-05	Away	Rutgers	48.15%	3.4 mph
2022-10-15	Home	Penn State	70.83%	7.4 mph
2022-12-04	Home	Purdue	64.71%	5.0 mph
2021-09-04	Home	Western Michigan	76.47%	8.0 mph
2021-11-13	Away	Penn State	65.52%	7.3 mph
2021-12-05	Away	Iowa	64.29%	6.5 mph
2021-11-06	Home	Indiana	53.57%	7.7 mph
2021-10-30	Away	Michigan State	64.58%	5.4 mph
2020-10-31	Home	Michigan State	61.54%	7.0 mph
2020-11-15	Home	Wisconsin	50.00%	9.2 mph
2020-11-22	Away	Rutgers	66.67%	5.2 mph
2019-10-05	Home	Iowa	53.85%	9.7 mph
2019-10-26	Home	Notre Dame	57.14%	6.9 mph
2019-10-12	Away	Illinois	50.00%	9.4 mph
2019-10-19	Away	Penn State	58.54%	6.9 mph
2019-08-31	Home	Middle Tennessee	57.58%	9.1 mph
2019-11-30	Home	Ohio State	41.86%	5.6 mph
2018-09-15	Home	SMU	77.78%	9.4 mph
2018-10-06	Home	Maryland	71.43%	8.1 mph
2018-10-20	Away	Michigan State	56.00%	8.5 mph
2018-11-03	Home	Penn State	64.71%	8.4 mph
2018-11-10	Away	Rutgers	66.67%	5.6 mph
2018-11-17	Home	Indiana	57.14%	9.4 mph
2018-09-22	Home	Nebraska	58.06%	9.5 mph
2018-11-24	Away	Ohio State	60.53%	9.8 mph
2017-10-21	Away	Penn State	57.14%	9.5 mph
2017-10-28	Home	Rutgers	65.00%	6.1 mph
2017-11-25	Home	Ohio State	53.12%	4.8 mph
2017-09-16	Home	Air Force	60.87%	9.1 mph
2017-09-02	Away	Florida	46.15%	6.8 mph
2016-09-17	Home	Colorado	53.33%	7.2 mph
2016-10-29	Away	Michigan State	64.00%	8.4 mph
2016-11-19	Home	Indiana	43.75%	8.7 mph
