-------------Average Rushing and Passing Percentage by Wind Speed-------------
Category	Games	Average Pass Percentage	Average Rush Percentage
Low	49	39.95%	60.05%
Moderate	61	40.74%	59.26%
High	7	44.89%	55.11%

-------------Total Points Based on Temperature-------------

--- Cold Games ---
Date	Game ID	Home/Away	Total Points	Temperature
1446872400	400763559	1	49	16.5°F
1448082000	400763574	2	28	28.4°F
1448686800	400763578	1	13	21.0°F
1475899200	400869636	2	78	21.6°F
1480136400	400869650	2	27	25.7°F
1477108800	400869676	1	41	25.1°F
1477713600	400869681	2	32	14.5°F
1478318400	400869685	1	59	11.9°F
1479013200	400869690	2	13	13.7°F
1479531600	400869695	1	20	9.8°F
1507348800	400935372	1	10	20.2°F
1509163200	400935393	1	35	22.6°F
1509854400	400935398	1	33	28.1°F
1511586000	400935420	1	20	19.1°F
1541826000	401012848	2	42	11.8°F
1542430800	401012860	1	31	4.3°F
1540008000	401012884	2	21	9.5°F
1539403200	401012893	1	38	31.6°F
1541217600	401012894	1	42	14.0°F
1543035600	401012895	2	39	29.0°F
1574485200	401112167	2	39	30.9°F
1573880400	401112219	1	44	14.4°F
1572062400	401112227	1	45	25.2°F
1575090000	401112228	1	27	5.2°F
1604116800	401247305	1	24	24.1°F
1605416400	401247319	1	11	29.4°F
1606021200	401247324	2	48	-6.0°F
1606539600	401247333	1	17	22.8°F
1636171200	401282727	1	29	5.9°F
1637384400	401282770	2	59	31.6°F
1635566400	401282777	2	33	30.9°F
1633752000	401282778	2	32	31.9°F
1634961600	401282779	1	33	23.3°F
1636779600	401282780	2	21	30.5°F
1637989200	401282781	1	42	6.3°F
1638680400	401331447	2	42	24.5°F
1667016000	401405125	1	29	24.9°F
1667620800	401405133	2	52	19.5°F
1668229200	401405137	1	34	9.7°F
1668834000	401405145	1	19	18.6°F
1669438800	401405153	2	45	31.2°F
1670130000	401437031	1	43	10.3°F
1699678800	401520394	2	24	25.8°F
1700888400	401520434	1	30	25.2°F
1701579600	401539480	2	26	24.9°F
1727496000	401628497	1	27	26.3°F
1729915200	401628529	1	24	22.0°F
1730520000	401628536	1	17	22.3°F
1732338000	401628557	1	50	9.0°F
1732942800	401628566	2	13	23.9°F

--- Moderate Games ---
Date	Game ID	Home/Away	Total Points	Temperature
1442030400	400757019	1	35	43.3°F
1442635200	400763511	1	28	46.5°F
1443240000	400763519	1	31	34.8°F
1444449600	400763535	1	38	44.2°F
1445054400	400763542	1	23	38.9°F
1446264000	400763553	2	29	32.1°F
1447477200	400763565	2	48	38.7°F
1473480000	400869510	1	51	49.4°F
1474689600	400869658	1	49	45.8°F
1475294400	400869664	1	14	48.2°F
1504324800	400933830	2	33	40.9°F
1504929600	400935243	1	36	46.3°F
1505534400	400935352	1	29	44.8°F
1508558400	400935386	2	13	39.2°F
1510376400	400935404	2	35	46.9°F
1510981200	400935416	2	10	38.9°F
1538798400	401012876	1	42	35.3°F
1536379200	401012889	1	49	47.1°F
1536984000	401012890	1	45	36.9°F
1537588800	401012891	1	56	43.6°F
1570248000	401112194	1	10	36.0°F
1572667200	401112208	2	38	48.6°F
1567828800	401112223	1	24	43.6°F
1569643200	401112225	1	52	48.3°F
1571457600	401112226	2	21	41.3°F
