-------------Rushing and Passing Percentage by Wind Speed-------------

Wind Speed: Low
Date	Game ID	Home/Away	Opponent	Pass Percentage	Rush Percentage
2024-10-26	401628529	Home	Michigan State	39.22%	60.78%
2023-11-25	401520434	Home	Ohio State	35.00%	65.00%
2023-12-03	401539480	Away	Iowa	46.88%	53.12%
2023-11-18	401520410	Away	Maryland	33.82%	66.18%
2023-09-23	401520260	Home	Rutgers	34.43%	65.57%
2023-10-14	401520321	Home	Indiana	34.38%	65.62%
2022-11-12	401405137	Home	Nebraska	28.99%	71.01%
2022-09-17	401404149	Home	UConn	37.68%	62.32%
2022-11-05	401405133	Away	Rutgers	33.75%	66.25%
2022-10-15	401405115	Home	Penn State	30.38%	69.62%
2022-12-04	401437031	Home	Purdue	30.91%	69.09%
2021-09-04	401282772	Home	Western Michigan	28.33%	71.67%
2021-11-13	401282780	Away	Penn State	41.43%	58.57%
2021-12-05	401331447	Away	Iowa	45.16%	54.84%
2021-11-06	401282727	Home	Indiana	42.42%	57.58%
2021-10-30	401282777	Away	Michigan State	58.54%	41.46%
2020-10-31	401247305	Home	Michigan State	60.47%	39.53%
2020-11-15	401247319	Home	Wisconsin	57.78%	42.22%
2020-11-22	401247324	Away	Rutgers	52.75%	47.25%
2019-10-05	401112194	Home	Iowa	44.07%	55.93%
2019-10-26	401112227	Home	Notre Dame	19.72%	80.28%
2019-10-12	401112150	Away	Illinois	31.43%	68.57%
2019-10-19	401112226	Away	Penn State	50.00%	50.00%
2019-08-31	401112222	Home	Middle Tennessee	42.31%	57.69%
2019-11-30	401112228	Home	Ohio State	62.32%	37.68%
2018-09-15	401012890	Home	SMU	30.51%	69.49%
2018-10-06	401012876	Home	Maryland	41.18%	58.82%
2018-10-20	401012884	Away	Michigan State	32.05%	67.95%
2018-11-03	401012894	Home	Penn State	24.64%	75.36%
2018-11-10	401012848	Away	Rutgers	40.30%	59.70%
2018-11-17	401012860	Home	Indiana	35.90%	64.10%
2018-09-22	401012891	Home	Nebraska	40.79%	59.21%
2018-11-24	401012895	Away	Ohio State	48.72%	51.28%
2017-10-21	400935386	Away	Penn State	40.00%	60.00%
2017-10-28	400935393	Home	Rutgers	28.17%	71.83%
2017-11-25	400935420	Home	Ohio State	47.06%	52.94%
2017-09-16	400935352	Home	Air Force	35.38%	64.62%
2017-09-02	400933830	Away	Florida	34.67%	65.33%
2016-09-17	400869111	Home	Colorado	42.25%	57.75%
2016-10-29	400869681	Away	Michigan State	37.31%	62.69%
2016-11-19	400869695	Home	Indiana	24.24%	75.76%
2016-09-10	400869510	Home	UCF	50.00%	50.00%
2016-10-08	400869636	Away	Rutgers	22.22%	77.78%
2016-11-13	400869690	Away	Iowa	42.62%	57.38%
2016-09-03	400869180	Home	Hawai'i	33.90%	66.10%
2016-11-26	400869650	Away	Ohio State	45.57%	54.43%
2015-10-17	400763542	Home	Michigan State	43.10%	56.90%
2015-10-31	400763553	Away	Minnesota	44.26%	55.74%
2015-10-10	400763535	Home	Northwestern	33.33%	66.67%
2015-11-07	400763559	Home	Rutgers	38.24%	61.76%
2015-11-28	400763578	Home	Ohio State	65.28%	34.72%

Wind Speed: Moderate
Date	Game ID	Home/Away	Opponent	Pass Percentage	Rush Percentage
2024-10-19	401628518	Away	Illinois	45.71%	54.29%
2024-09-14	401628479	Home	Arkansas State	29.03%	70.97%
2024-09-21	401628489	Home	USC	20.69%	79.31%
2024-10-05	401628505	Away	Washington	40.32%	59.68%
2024-08-31	401628452	Home	Fresno State	44.26%	55.74%
2024-11-23	401628557	Home	Northwestern	50.00%	50.00%
2024-11-02	401628536	Home	Oregon	47.17%	52.83%
2024-11-30	401628566	Away	Ohio State	28.07%	71.93%
2023-11-11	401520394	Away	Penn State	14.81%	85.19%
2023-09-02	401520162	Home	East Carolina	50.00%	50.00%
2023-10-21	401520340	Away	Michigan State	50.72%	49.28%
2023-09-09	401520202	Home	UNLV	45.90%	54.10%
2023-11-04	401520368	Home	Purdue	52.11%	47.89%
2023-09-16	401520232	Home	Bowling Green	29.55%	70.45%
2023-10-07	401520303	Away	Minnesota	41.07%	58.93%
2022-09-03	401405067	Home	Colorado State	41.18%	58.82%
2022-09-24	401405097	Home	Maryland	39.39%	60.61%
2022-10-29	401405125	Home	Michigan State	33.33%	66.67%
2022-09-11	401405077	Home	Hawai'i	40.00%	60.00%
2022-10-01	401405100	Away	Iowa	36.36%	63.64%
2022-10-08	401405108	Away	Indiana	47.37%	52.63%
2022-11-26	401405153	Away	Ohio State	41.67%	58.33%
2022-11-19	401405145	Home	Illinois	45.95%	54.05%
2021-11-20	401282770	Away	Maryland	53.33%	46.67%
2021-09-18	401282774	Home	Northern Illinois	26.15%	73.85%
2021-10-09	401282778	Away	Nebraska	48.15%	51.85%
2021-09-25	401282775	Home	Rutgers	29.63%	70.37%
2021-10-23	401282779	Home	Northwestern	37.21%	62.79%
2021-09-12	401282773	Home	Washington	21.13%	78.87%
2021-11-27	401282781	Home	Ohio State	32.79%	67.21%
2020-10-24	401247294	Away	Minnesota	44.64%	55.36%
2020-11-07	401247309	Away	Indiana	65.38%	34.62%
2020-11-28	401247333	Home	Penn State	50.91%	49.09%
2019-11-16	401112219	Home	Michigan State	49.25%	50.75%
2019-11-02	401112208	Away	Maryland	46.03%	53.97%
2019-09-07	401112223	Home	Army	40.79%	59.21%
2019-09-28	401112225	Home	Rutgers	39.71%	60.29%
2019-09-21	401112224	Away	Wisconsin	68.85%	31.15%
2018-09-29	401012892	Away	Northwestern	36.36%	63.64%
2018-09-08	401012889	Home	Western Michigan	33.96%	66.04%
2018-10-13	401012893	Home	Wisconsin	29.41%	70.59%
2017-11-05	400935398	Home	Minnesota	26.00%	74.00%
2017-11-11	400935404	Away	Maryland	32.14%	67.86%
2017-11-18	400935416	Away	Wisconsin	41.27%	58.73%
2017-10-14	400935379	Away	Indiana	31.25%	68.75%
2017-09-09	400935243	Home	Cincinnati	43.94%	56.06%
2017-09-23	400935364	Away	Purdue	41.33%	58.67%
2017-10-07	400935372	Home	Michigan State	47.30%	52.70%
2016-10-22	400869676	Home	Illinois	32.18%	67.82%
2016-09-24	400869658	Home	Penn State	41.67%	58.33%
2016-10-01	400869664	Home	Wisconsin	42.11%	57.89%
2016-11-05	400869685	Home	Maryland	40.91%	59.09%
2015-09-19	400763511	Home	UNLV	39.06%	60.94%
2015-09-26	400763519	Home	BYU	32.89%	67.11%
2015-10-03	400763530	Away	Maryland	45.21%	54.79%
2015-09-04	400756883	Away	Utah	59.72%	40.28%
2015-11-21	400763574	Away	Penn State	55.88%	44.12%
2015-11-14	400763565	Away	Indiana	62.16%	37.84%
2015-09-12	400757019	Home	Oregon State	35.14%	64.86%

Wind Speed: High
Date	Game ID	Home/Away	Opponent	Pass Percentage	Rush Percentage
2024-09-07	401628347	Home	Texas	60.00%	40.00%
2024-09-28	401628497	Home	Minnesota	29.51%	70.49%
2024-11-09	401628541	Away	Indiana	48.48%	51.52%
2023-09-30	401520286	Away	Nebraska	31.08%	68.92%
2021-10-02	401282776	Away	Wisconsin	40.54%	59.46%
2019-11-23	401112167	Away	Indiana	52.46%	47.54%
2018-09-01	401012888	Away	Notre Dame	52.17%	47.83%
