-------------Total Points Based on Temperature-------------
Date	Game ID	Home/Away	Opponent	Total Points
2015-09-04	400756883	Away	Utah	17
2015-09-12	400757019	Home	Oregon State	35
2015-09-19	400763511	Home	UNLV	28
2015-09-26	400763519	Home	BYU	31
2015-10-03	400763530	Away	Maryland	28
2015-10-10	400763535	Home	Northwestern	38
2015-10-17	400763542	Home	Michigan State	23
2015-10-31	400763553	Away	Minnesota	29
2015-11-07	400763559	Home	Rutgers	49
2015-11-14	400763565	Away	Indiana	48
2015-11-21	400763574	Away	Penn State	28
2015-11-28	400763578	Home	Ohio State	13
2016-09-17	400869111	Home	Colorado	45
2016-09-03	400869180	Home	Hawai'i	63
2016-09-10	400869510	Home	UCF	51
2016-10-08	400869636	Away	Rutgers	78
2016-11-26	400869650	Away	Ohio State	27
2016-09-24	400869658	Home	Penn State	49
2016-10-01	400869664	Home	Wisconsin	14
2016-10-22	400869676	Home	Illinois	41
2016-10-29	400869681	Away	Michigan State	32
2016-11-05	400869685	Home	Maryland	59
2016-11-13	400869690	Away	Iowa	13
2016-11-19	400869695	Home	Indiana	20
2017-09-02	400933830	Away	Florida	33
2017-09-09	400935243	Home	Cincinnati	36
2017-09-16	400935352	Home	Air Force	29
2017-09-23	400935364	Away	Purdue	28
2017-10-07	400935372	Home	Michigan State	10
2017-10-14	400935379	Away	Indiana	27
2017-10-21	400935386	Away	Penn State	13
2017-10-28	400935393	Home	Rutgers	35
2017-11-05	400935398	Home	Minnesota	33
2017-11-11	400935404	Away	Maryland	35
2017-11-18	400935416	Away	Wisconsin	10
2017-11-25	400935420	Home	Ohio State	20
2018-11-10	401012848	Away	Rutgers	42
2018-11-17	401012860	Home	Indiana	31
2018-10-06	401012876	Home	Maryland	42
2018-10-20	401012884	Away	Michigan State	21
2018-09-01	401012888	Away	Notre Dame	17
2018-09-08	401012889	Home	Western Michigan	49
2018-09-15	401012890	Home	SMU	45
2018-09-22	401012891	Home	Nebraska	56
2018-09-29	401012892	Away	Northwestern	20
2018-10-13	401012893	Home	Wisconsin	38
2018-11-03	401012894	Home	Penn State	42
2018-11-24	401012895	Away	Ohio State	39
2019-10-12	401112150	Away	Illinois	42
2019-11-23	401112167	Away	Indiana	39
2019-10-05	401112194	Home	Iowa	10
2019-11-02	401112208	Away	Maryland	38
2019-11-16	401112219	Home	Michigan State	44
2019-08-31	401112222	Home	Middle Tennessee	40
2019-09-07	401112223	Home	Army	24
2019-09-21	401112224	Away	Wisconsin	14
2019-09-28	401112225	Home	Rutgers	52
2019-10-19	401112226	Away	Penn State	21
2019-10-26	401112227	Home	Notre Dame	45
2019-11-30	401112228	Home	Ohio State	27
2020-10-24	401247294	Away	Minnesota	49
2020-10-31	401247305	Home	Michigan State	24
2020-11-07	401247309	Away	Indiana	21
2020-11-15	401247319	Home	Wisconsin	11
2020-11-22	401247324	Away	Rutgers	48
2020-11-28	401247333	Home	Penn State	17
2021-11-06	401282727	Home	Indiana	29
2021-11-20	401282770	Away	Maryland	59
2021-09-04	401282772	Home	Western Michigan	47
2021-09-12	401282773	Home	Washington	31
2021-09-18	401282774	Home	Northern Illinois	63
2021-09-25	401282775	Home	Rutgers	20
2021-10-02	401282776	Away	Wisconsin	38
2021-10-30	401282777	Away	Michigan State	33
2021-10-09	401282778	Away	Nebraska	32
2021-10-23	401282779	Home	Northwestern	33
2021-11-13	401282780	Away	Penn State	21
2021-11-27	401282781	Home	Ohio State	42
2021-12-05	401331447	Away	Iowa	42
2022-09-17	401404149	Home	UConn	59
2022-09-03	401405067	Home	Colorado State	51
2022-09-11	401405077	Home	Hawai'i	56
2022-09-24	401405097	Home	Maryland	34
2022-10-01	401405100	Away	Iowa	27
2022-10-08	401405108	Away	Indiana	31
2022-10-15	401405115	Home	Penn State	41
2022-10-29	401405125	Home	Michigan State	29
2022-11-05	401405133	Away	Rutgers	52
2022-11-12	401405137	Home	Nebraska	34
2022-11-19	401405145	Home	Illinois	19
2022-11-26	401405153	Away	Ohio State	45
2022-12-04	401437031	Home	Purdue	43
2023-09-02	401520162	Home	East Carolina	30
2023-09-09	401520202	Home	UNLV	35
2023-09-16	401520232	Home	Bowling Green	31
2023-09-23	401520260	Home	Rutgers	31
2023-09-30	401520286	Away	Nebraska	45
2023-10-07	401520303	Away	Minnesota	52
2023-10-14	401520321	Home	Indiana	52
2023-10-21	401520340	Away	Michigan State	49
2023-11-04	401520368	Home	Purdue	41
2023-11-11	401520394	Away	Penn State	24
2023-11-18	401520410	Away	Maryland	31
2023-11-25	401520434	Home	Ohio State	30
2023-12-03	401539480	Away	Iowa	26
2024-09-07	401628347	Home	Texas	12
2024-08-31	401628452	Home	Fresno State	30
2024-09-14	401628479	Home	Arkansas State	28
2024-09-21	401628489	Home	USC	27
2024-09-28	401628497	Home	Minnesota	27
2024-10-05	401628505	Away	Washington	17
2024-10-19	401628518	Away	Illinois	7
2024-10-26	401628529	Home	Michigan State	24
2024-11-02	401628536	Home	Oregon	17
2024-11-09	401628541	Away	Indiana	15
2024-11-23	401628557	Home	Northwestern	50
2024-11-30	401628566	Away	Ohio State	13
